,Title,Datetime,Score,flag_alphachar
37,"A lot of people worry about being buried alive, but that's really a miner problem.",1 year ago,410,1
38,A nine year old girl has disappeared after using moisturizer that makes you look ten years younger.,1 year ago,403,1
39,A one armed man walks into a second hand shop.,9 months ago,289,1
40,"A penny saved is more than a penny earned, because a penny earned is taxed.",1 month ago,14,1
41,"A photon checks into a hotel, is asked if he needs any help with his luggage and replies, ""No, I'm traveling light.""",1 year ago,291,1
42,A plateau is the highest form of flattery.,12 days ago,35,1
43,A pole sticking out the side of a wall is a reverse gloryhole,18 days ago,0,1
44,A politician is someone who molests the government,1 month ago,7,1
45,A proctologist's profession really sucks because they have to work with assholes all day and the pay can be shitty.,3 days ago,5,1
46,A recent study has found that women who carry a little extra weight live longer than the men who mention it.,9 months ago,353,1
47,A sadomasochist gets excited when someone tells them that they're going to hell,29 days ago,5,1
48,A semicolon broke the law; it was given two consecutive sentences.,1 year ago,328,1
49,A smile is the best makeup any girl can wear.,3 days ago,0,1
50,A soul can be wiped clean with toilet paper,13 days ago,7,1
51,A struggling magician might resort to pulling their hare out.,10 days ago,53,1
52,A voice in my head wont let me take off my headphones,1 month ago,259,1
53,"Accordion to a recent survey, replacing words with the names of musical instruments in a sentence often goes undetected.",5 months ago,23,1
54,Accountants often appear dour as they don't want to be seen laughing at your expense.,1 month ago,8,1
55,After being told to watch my language I bought a foreign film with English subtitles.,2 months ago,215,1
56,"After the death of Steve Irwin they had to cancel his range of sun creams, they just didn't protect from harmful rays.",7 months ago,238,1
57,After winning the game I decided to throw the ball into the crowd like they do on TV but apparently that's unacceptable in Bowling.,11 months ago,357,1
58,After you left I was the one left.,3 months ago,52,1
59,"Ah, the Nobel Peace Prize... I'd kill to win that.",5 months ago,266,1
60,Alcohol is a solution,7 months ago,238,1
61,"All countries got Coronavirus eventually, but China got it right off the bat.",7 hours ago,10,1
62,All dairy cows have a significant udder.,1 month ago,9,1
63,All food either goes to waste or waist.,1 month ago,30,1
64,All forks are tiney,29 days ago,4,1
65,All generalizations are wrong.,3 hours ago,2,1
66,All my Ex Machinas live in Texarkana,2 months ago,3,1
67,"All my internal organs got placed mirrored by birth, but at least my heart is on the right side.",14 days ago,9,1
68,All of these 'trashtag challenge' posts are litterally changing my view of the world.,8 months ago,207,1
69,All of these capitalists are making some letters bigger than others,2 months ago,16,1
70,"All red wine is mulled wine, if you think about it.",1 year ago,209,1
71,"All shoes are running shoes, when you have diarrhea.",8 months ago,26,1
72,All the money I give to my insurance guy and he has the audacity to call himself 'broker'.,3 months ago,269,1
73,Alphabetical should be spelled,8 days ago,18,1
74,"Always remember you're unique, just like everyone else.",26 days ago,48,1
75,"Always use a condom when having phone sex, or you might get hearing aids.",4 months ago,362,1
76,Always writing my name in cursive is my signature move.,1 year ago,389,1
77,An unsuccessful limbo dancer walked into a bar...,1 month ago,42,1
78,"And just then, it all came back to me... As I peed in the wind...",14 days ago,15,1
79,Anorexics must be starving for attention,5 months ago,141,1
80,Antivaxxers are nothing to sneeze at.,25 days ago,23,1
81,Any salad can be a Caesar salad if you stab it enough.,1 month ago,24,1
82,"Apparently if you can’t aim properly, urinal lot of trouble.",8 months ago,26,1
83,"Apparently it costs £1,500,000 to climb Mount Everest...which in my opinion, is a bit steep.",1 year ago,444,1
84,Approaching the New Year and I've got 20/20 vision,3 months ago,117,1
85,"Are there a lot of first-person singular objective pronouns, or is it just me?",1 year ago,240,1
86,Are walking trails at mental institutions called psychopaths?,5 months ago,250,1
87,Are you COVID? Cause youre 19 and i could easily spread that,4 days ago,8,1
88,Are you a cigarette? Cause I want to get you lit and put your butt in my mouth!,8 months ago,28,1
89,"As I put the car in reverse, I thought ""This takes me back"".",15 days ago,458,1
90,"As I watched the dog chasing his tail, I thought, ""Dogs are easily amused"", then I realized I was watching the dog chasing his tail.",1 year ago,325,1
91,"As a dermatologist, I didn’t expect my patient to have such thick skin.",22 days ago,6,1
92,"As a short person, I get looked down on",2 months ago,15,1
93,Asian One-liner....,24 days ago,0,1
94,At Turdburgler Farms we use 100% stolen fertilizer,5 months ago,25,1
95,"At any given moment, the urge to sing, “The Lion Sleeps Tonight” is just a whim away, a whim away, a whim away.",1 year ago,690,1
96,"Australians don't have sex, Australians mate.",2 months ago,441,1
97,Avoiding dangling prepositions is something I am really good at.,1 day ago,5,1
98,Beethoven wrote nine symphonies and not one wrote back.,1 month ago,19,1
99,Being human is really just getting old,3 hours ago,6,1
100,Being pansexual means my Myers Briggs test result says I'm a LGBT.,19 days ago,6,1
101,Best place to meet someone with a smoking hot body is the burn ward at the hospital,7 months ago,263,1
102,Biden likely hasn't had a capital D in years,22 hours ago,1,1
103,Blind people hate skydiving because it scares the hell out of their dogs.,1 year ago,215,1
104,Both of my feet are legends,2 months ago,34,1
105,Braille really should've been called 'Blind Spots'.,2 months ago,305,1
106,Calling your mother an asshole makes you a piece of shit.,10 months ago,422,1
107,"Camouflaged condoms, she'll never see you coming",5 months ago,171,1
108,Castration takes balls,4 months ago,253,1
109,"Chandeliers?... Eh, not a fan",22 days ago,65,1
110,"Checked out a nudist camp today, but the sign said ""Clothed till May"".",11 months ago,281,1
111,Childlessness is hereditary.,29 days ago,6,1
112,Choirs use their vocal cords to make vocal chords,12 days ago,59,1
113,"Christ died for our sins, so let's not disappoint him.",2 months ago,18,1
114,Clones are people two.,2 months ago,421,1
115,Cocaine,11 days ago,4,1
116,Communist jokes are only funny if everyone gets them.,12 days ago,600,1
117,Condoms are for fucking pussies.,11 months ago,364,1
118,Confessions at church must be a real pain in the ass for little boys,22 days ago,19,1
119,Conspiracy to make balls earth shaped,2 months ago,6,1
120,Coronavirus is what I used to call in sick with instead of saying beer flu.,1 month ago,345,1
121,Cows have hooves instead of feet because they lactose.,1 year ago,523,1
122,"Create a new digital assistant named Bob, and have the marketing go ""No Siri, Bob""",1 month ago,12,1
123,D.B. Cooper became the richest and most famous skydiver with a single jump.,25 days ago,7,1
124,"Dark humor is like food, not everybody gets it",4 months ago,95,1
125,"Death can never be a formality, it's a casualty.",1 month ago,9,1
126,Diarrhea is hereditary,1 month ago,5,1
127,"Did you know ""gullible"" isn't in the dictionary?",12 days ago,7,1
128,Did you know vampires are not real? Unless you Count Dracula,4 months ago,28,1
129,Dietary fiber is the shit,10 days ago,13,1
130,"Disappointed, but not surprised, I was once again the only one at Solipsists Anonymous.",4 months ago,141,1
131,Do Claustrophobics listen to Trap music?,10 months ago,257,1
132,Do Siamese twins suffer from joint pain?,5 months ago,24,1
133,Do little people have earlier bedtimes than us?,24 days ago,0,1
134,Do you think Colin Jost's parents are cool with his interracial marriage?,1 month ago,0,1
135,"Does an agnostic, dyslexic insomniac stay up all night wondering if there is a dog?",2 months ago,200,1
136,"Don't be the same ,be better.",4 days ago,1,1
137,Don't eat animal crackers if the seal is broken,23 days ago,379,1
138,"Don't tell anytwo, but I suck at math.",7 months ago,30,1
139,Don't you hate it when people answer their own questions? I do.,6 months ago,310,1
140,Don’t let anyone tell you what to do.,2 months ago,255,1
141,Dozens of dollars lost in massive ramen heist.,1 year ago,253,1
142,"Duct tape can't fix stupid, but it can muffle the sound of it.",6 months ago,29,1
143,"Dumb people work, smart people die finding a way to never do even one tiny lil bit of work in their life",1 month ago,0,1
144,"Earth, Wind, and Fire needs to play a concert with Heart and Aqua, so they can finally summon Captain Planet.",6 months ago,197,1
145,Eating a clock is very time consuming.,1 month ago,22,1
146,Either you're not retarded or you'll never know,18 days ago,10,1
147,Elevators drive me up the fucking wall,1 hour ago,0,1
148,"English puns make me feel numb, but math puns make me feel number.",1 year ago,588,1
149,Every day is bring your kid to work day in China.,9 months ago,241,1
150,Every novel is a mystery novel if you never finish it,1 month ago,348,1
151,"Every pizza is a personal pizza, if you believe in yourself.",8 days ago,338,1
152,"Every year, hundreds of students enrol in mime school, never to be heard from again.",2 years ago,264,1
153,Everyone gives flat-earthier grief but they’re just ahead of the curve,11 months ago,140,1
154,Everything is a smoke machine if you use it wrong enough.,2 months ago,557,1
155,Excuse me while I lick the blood on the inside of my tongue,1 month ago,0,1
156,Explaining to a child that we're mortal and that death is inescapable is probably for me the hardest part of being a party clown.,6 months ago,269,1
157,FYI: An erection is not considered personal growth,1 month ago,69,1
158,Farmers dont give a shit but they do buy and sell it,1 year ago,223,1
159,Farts are just the ghosts of the things we have eaten.,8 months ago,336,1
160,Five out of six scientists recommend Russian roulette.,1 year ago,297,1
161,Floppy disks are like Jesus- they died to become the icon of saving.,3 months ago,319,1
162,Foosball is a combination of soccer and shish kabobs.,1 month ago,21,1
163,"Frankly autocorrect, I’m getting tired of your shirt",1 year ago,229,1
164,Friends are like snowflakes. They disappear when you pee on them,8 months ago,57,1
165,Furniture sales people hate it when you refer to the ottoman displays as stool samples.,1 month ago,22,1
166,Geologists rock,1 month ago,39,1
167,Getting your shit together is a direct violation of the Law of Entropy.,13 days ago,386,1
168,Giraffes know how to make a little food go a long way.,15 days ago,37,1
169,God gave me the keys to his kingdom so tomorrow night we are gonna sneak in and rob him,1 month ago,2,1
170,Going to church doesn't make you a Christian any more than standing in a garage makes you a car.,2 years ago,252,1
171,Going to church doesn’t make you a Christian any more than standing in a garage makes you a car.,11 months ago,268,1
172,Good camo pants are hard to find.,7 months ago,377,1
173,"Gravity is one of the most fundamental forces in the universe, but if you remove it, you get gravy.",4 days ago,845,1
174,Greed bless you,2 days ago,3,1
175,"Green is my favorite color, I love it more than blue and yellow combined.",2 years ago,228,1
176,Growing up is getting old.,5 months ago,279,1
177,Guy tried to sell me a ticket with a chance to win so I offered him an amount of money for it whatever amount is in my left hand he will find out after the trade for a chance,1 month ago,0,1
178,"Guys, if having a dad bod is in, does that mean that you're more attractive if you have a father figure?",11 months ago,254,1
179,HERMITS UNITE!,2 days ago,0,1
180,Hanging yourself is a breathtaking once in a lifetime experience,10 months ago,253,1
181,Hard work will never hurt you as long as you watch it from a safe distance.,1 year ago,302,1
182,"Have u seen the film about the tractor, because ive only seen the trailer",10 months ago,27,1
183,Have you ever heard the story about the blind carpenter that picked up his hammer and saw?,8 months ago,197,1
184,Having erectile dysfunction can’t be that hard,8 months ago,381,1
185,He who smiles in a crisis has found someone to blame.,1 month ago,9,1
186,"He's had the clap so many times, it's more like applause by now.",5 days ago,6,1
187,"Hey bartender, I had a shitty day and need a little fuck me up.",1 month ago,1,1
188,Hinduism is the most peaceful religion because they never have beef.,9 hours ago,3,1
189,Hope my knuckle replacement goes well tomorrow fingers crossed,16 days ago,3,1
190,How I Met Your Mother was the longest Ted talk ever.,2 years ago,530,1
191,How long is a Chinese man.,9 months ago,220,1
192,How much XP can I get for killing the mood?,8 months ago,277,1
193,Human clones aren't very original.,11 months ago,214,1
194,I accidentally stumbled upon a fetish website. It was fucking shit.,18 days ago,373,1
195,I accidentally swallowed a bunch of Scrabble tiles. My next trip to the bathroom could spell disaster.,1 year ago,313,1
196,I advertised a ghost tour for my city and then didn’t show up.,7 months ago,177,1
197,I agree to your terms but not your conditions,1 month ago,8,1
198,I ain’t the brightest book in the shed.,1 year ago,217,1
199,I am a failure of a Leftist; I cannot do anything Right.,1 month ago,8,1
200,I am once again back in the hospital for my Narcissism treatment. I always seem to check myself out.,2 months ago,8,1
201,"I asked this beautiful woman if I could take her home, and she said yes, so we're foreclosing her mortgage next week.",2 years ago,228,1
202,I ate aluminium foil once. For days after that all i could do was sheet metal.,1 month ago,48,1
203,I ate four cans of alphabet soup and just had the biggest vowel movement ever.,1 year ago,354,1
204,I became a good person and went to heaven just so i could give god what he has coming.,2 months ago,1,1
205,I became a war hero by not joining the military,26 days ago,5,1
206,I bet when cannibals go on a diet they order the chef salad,7 days ago,43,1
207,"I bought a dog off a blacksmith today and as soon as I got it home, it made a bolt for the door.",1 year ago,456,1
208,"I bought my friend a get better soon card. He isn't ill, I just think he could do better",1 year ago,297,1
209,"I bought my grandchildren some crayons and I have to say, they make my kin scrawl.",5 months ago,263,1
210,"I bought some anti-poop glasses, but now I can't see shit.",4 months ago,319,1
211,"I bought the world's worst Thesaurus the other day. Not only is it bad, it's also pretty bad.",1 month ago,11,1
212,"I broke my finger last week. On the other hand, I'm okay.",3 months ago,340,1
213,"I broke my finger, but on the other hand I'm fine.",3 months ago,34,1
214,I broke up with my gym; we were just not working out.,1 month ago,34,1
215,I built a stair case without planning permission council said i took it a step too far,16 days ago,15,1
216,I can't do a one night stand... I have to get two or else my bedroom would look uneven,1 month ago,19,1
217,I can't find my hide-and-seek manual.,1 month ago,309,1
218,I can't leave for work without my jump-start battery.,13 days ago,0,1
219,I can't stand action figures with no feet,18 days ago,27,1
220,I can't stand paraplegics.,9 days ago,4,1
221,I can't think of a single person who's in a relationship.,2 years ago,217,1
222,I can't wait to see my wife's face light up when she opens the fridge I got her for Christmas.,2 months ago,309,1
223,I cannot even begin to explain how bad my communication skills are.,1 month ago,26,1
224,I cannot stand being fat.,1 month ago,357,1
225,I can’t believe I got fired from the calendar company for taking a day off,1 month ago,11,1
226,I can’t believe the fired me at the clock factory after all the extra hours I put in.,4 months ago,326,1
227,"I can’t remember where I put my boomerang, I’m sure it will come back to me.",2 months ago,10,1
228,I can’t write a Batman joke to save my parents’ life.,9 months ago,28,1
229,"I could tell my waiter was losing his balance, but I decided to let the chips fall where they may.",4 days ago,9,1
230,I crack good drug puns.,22 days ago,348,1
231,"I decided to give the Whisky diet a try, I've lost three days already.",5 months ago,181,1
232,"I despise Russian dolls, they're way too full of themselves.",1 month ago,484,1
233,"I didn't get a good look at the guy who stole my car, but I managed to write down the license plate number.",1 year ago,387,1
234,"I didn’t think I’d like my sister’s new boyfriend, the hockey player, but it turns out he’s a keeper.",1 month ago,4,1
235,I do public relations work for a company that sells bicycle wheels. I'm also their spokes person.,1 month ago,426,1
236,I don't do one line jokes I just make people laugh with as few words as possible.,4 hours ago,1,1
237,"I don't mean to be offensive, but I really love all stereotypes; boomboxes are my favorite.",1 year ago,254,1
238,I don't trust stairs... they always look like they're up to something.,1 year ago,258,1
239,"I don't wear glasses anymore, I've seen enough.",24 days ago,6,1
240,I don’t know about you but I think Climate Change is just a load of hot air.,1 month ago,9,1
241,"I don’t know what shams are, but I think it’s weird that we put their poo in our hair.",10 months ago,164,1
242,"I don’t like cocaine, I just like the smell of it.",1 month ago,501,1
243,"I don’t like the term grammar nazi, it’s just not comparable, there weren’t any punctuation camps or caps chambers.",3 months ago,221,1
244,I find it strange how everyone suddenly cares about straws killing dolphins because they've been breaking camels' backs for years.,5 months ago,34,1
245,I find proctologists to be a pain in the ass.,7 days ago,6,1
246,"I googled ""how to start a wildfire"" and I got 50,000 matches.",1 year ago,351,1
247,I googled “cigarette lighter” and got 2000 matches.,3 months ago,423,1
248,I got god a christmas present that I sin 10℅ less for a year and i got the devil a present that I sin 10℅ more in that same time,1 month ago,0,1
249,I got in touch with my inner self today. That's the last time I'm buying 1-ply toilet paper,1 year ago,282,1
250,I got into a fight with some guy on a moving staircase yesterday,2 months ago,0,1
251,I got mugged by six dwarves last night. Not happy.,1 year ago,353,1
252,"I had a 3-way last night, everything came together nicely in spite of 2 no-shows.",6 months ago,223,1
253,I hate conspiracy theories and actually think there's a group of people creating them just to annoy me.,5 months ago,288,1
254,"I hate having ADHD, one second your doing something and the",2 months ago,264,1
255,I hate it when ice sculptures give me the cold shoulder.,1 month ago,15,1
256,I hate peer pressure and you should too,6 months ago,325,1
257,"I hate those people who bang on your door and tell you how you need to be ""saved"" or you'll ""burn"". Stupid firemen",11 months ago,587,1
258,I hate when books end on a,11 months ago,33,1
259,I have a Polish friend who has a job as a sound engineer and I have a Czech one too.,2 years ago,218,1
260,I have a bumper sticker that says 'Honk If You Think I'm Sexy' so I just sit at green lights until I feel better about myself!,11 months ago,307,1
261,"I have a close friend who really likes to wear camo, I haven't seen him in years.",4 months ago,30,1
262,"I have a fear of speed bumps, but I'm slowly getting over it",2 years ago,255,1
263,I have a killer joke about mob lynching...,1 month ago,3,1
264,I have a lion's heart,1 month ago,4,1
265,I have a pen that can write underwater as well as other words too.,8 months ago,423,1
266,I have a problem with my budget it's not going cheap,5 days ago,5,1
267,I have a really intense phobia of negative numbers. I'll stop at nothing to avoid them.,4 months ago,393,1
268,I have a recurring dream where I divide 10 by 3.,1 month ago,474,1
269,I have a song about glue stuck in my mind,2 months ago,34,1
270,"I have a theremin at home, but I haven’t touched it in years",1 month ago,335,1
271,I have issues when it comes to comic book subscriptions,17 days ago,486,1
272,I have more issues than Times magazine.,19 days ago,17,1
273,I haven't had a single drink all day. They've all been doubles.,8 months ago,308,1
274,"I haven’t heard any trick-or-treaters, knock on wood.",2 months ago,3,1
275,I haven’t owned a watch for I don’t know how long.,7 months ago,284,1
276,"I hope Elon Musk never gets involved in a scandal, because Elongate, would be really drawn out.",1 year ago,332,1
277,"I just burned 2,000 calories. That's the last time I leave brownies in the oven while I nap.",2 years ago,375,1
278,I just can't see myself wearing camouflage,5 months ago,278,1
279,"I just deleted all German names off my phone, it's now hans free!",1 year ago,217,1
280,I just found out that I’m colourblind. It came totally out of the purple,2 months ago,438,1
281,I just gave away all of my dead batteries free of charge.,7 months ago,309,1
282,I just got back from China; I feel pretty disoriented.,1 year ago,456,1
283,"I just got fired from my job at the bakery, which is upsetting cause I really kneaded the dough.",2 years ago,259,1
284,I just opened my electric bill and water bill at the same time and was completely shocked.,2 years ago,375,1
285,I just ordered 2000 lbs of won ton soup.,2 years ago,214,1
286,I just saw some idiot at the gym put a water bottle in the Pringles holder on the treadmill.,1 year ago,661,1
287,"I just spotted an albino Dalmatian, I mean, it was the least I could do.",1 year ago,476,1
288,"I know a guy who used sell primates for a living, but the government put a stop to his monkey business",1 day ago,10,1
289,I know everything about the Dunning-Kruger effect,1 month ago,16,1
290,"I learned so many new phrases while attending university, like “hyperbolic functions”, “binary fission”, “failed exam”, “retaking courses”, “last chance”, “self medication”, “seething depression” and “suicide hotline”.",16 days ago,444,1
291,I like to make flatbread jokes naan stop,5 months ago,30,1
292,I like to shit with the door open because it keeps people from getting into the elevator with me.,1 month ago,403,1
293,"I like what mechanics wear, overall.",8 months ago,240,1
294,I looked up my family tree and found out I was the sap.,10 months ago,38,1
295,I lost all my weed in a series of small fires.,2 years ago,217,1
296,I love eating fastfood better than sex. That’s because I can buy fastfood zon almost every corner.,6 days ago,1,1
297,I love my dog but his mom is a bitch.,22 days ago,29,1
298,"I love to tell dad jokes, and sometimes he laughs.",1 year ago,217,1
299,I met a drunk ventriloquist who said she wanted to sleep with me but I didn't know whether it was her or the beer talking.,8 months ago,333,1
300,"I met someone online who shares my fetish for urinating on dried fruit, so we’re going to go on a date next week.",2 years ago,377,1
301,"I missed my bus talking to a burrito vendor, he just couldn't wrap it up!",1 month ago,30,1
302,I must be an awful person to paraplegics because they can't stand being around me.,28 days ago,11,1
303,"I named my eraser Confidence, because it gets smaller after every mistake I make.",8 months ago,668,1
304,I need to buy a watch but i dont have the time,1 year ago,225,1
305,I never thought that our death would be 'Made in China',12 days ago,10,1
306,I once baked brownies with laxatives in them and all my co-workers lost their shit over it.,10 days ago,68,1
307,I once knew a guy who broke the rules without breaking the rules by just saying - -,11 days ago,1,1
308,"I once met a guy called Christmas, he was named after his navidad.",1 month ago,2,1
309,"I once ordered a plate of pasta and a plate of antipasti, and the order canceled itself out.",29 days ago,21,1
310,I once threw a dart at a rodeo and got a bullseye!,10 days ago,413,1
311,I once took a shit in a public restroom. The guy who left it was weirded out by that.,6 months ago,29,1
312,I participated in an anal sex competition and came in turd.,19 days ago,386,1
313,I pay my accountant to cook the books not burn them,6 days ago,4,1
314,I put the “sexy” in “dyslexic”,14 days ago,786,1
315,"I quit drinking yesterday. Come to think of it, I quit drinking every day.",6 months ago,165,1
316,I race horses but they always win,14 days ago,8,1
317,"I read my favorite bible verse everyday, Lunch 11:35",28 days ago,17,1
318,I read that by law you must turn on your headlights when it’s raining in Sweden but how the fuck am I supposed to know when it is raining in Sweden?,1 year ago,424,1
319,"I really don't like the term ""anal bleaching"" and would much rather call it ""changing my ringtone.""",6 months ago,25,1
320,"I really like Switzerland, the flag is a big plus.",1 month ago,161,1
321,"I recently switched the n&m keys on the school computers, some may say I'm a monster, others might say I'm a nomster!",7 days ago,73,1
322,"I remember the last thing my dad said to me...""be careful son, the safety is off.""",14 days ago,33,1
323,"I rushed to the hospital when I heard that my cousin could neither walk nor speak, but apparently, all newborns are like that.",7 months ago,313,1
324,"I should have been sad when my flashlight batteries died, but I was delighted.",2 years ago,224,1
325,I singlehandedly watched thousands of hours of porn,2 months ago,477,1
326,"I smoke weed in all kinds of weather, but, I just dont in hail.",4 months ago,311,1
327,I spotted an albino dalmatian today.,2 months ago,10,1
328,I started as a corporate idiot and worked my way up to having just a corporate learning disability,29 days ago,7,1
329,I stole a toilet from the police station. The cops have nothing to go on.,6 months ago,31,1
330,I stopped making jokes about short people once I realised that that's beneath me,2 months ago,6,1
331,"I suffer from kleptomania, but when it gets bad I take something for it.",1 year ago,305,1
332,I suppose snipers miss their loved ones.,1 year ago,272,1
333,I sure was relieved when the wind scattered my pile of raked leaves,13 days ago,4,1
334,I swam with dolphins yesterday and it was fantastic we just clicked!,11 months ago,220,1
335,"I think I have commitment issues, but I'm not sure.",21 days ago,25,1
336,I think freezing to death would be a cool way to die.,1 year ago,324,1
337,I think lumber jacks were disappointed when they attended Woodstock,8 days ago,17,1
338,I think one of my dads is gay.,2 years ago,249,1
339,I think one of my dads might be gay.,2 years ago,255,1
340,"I think there are about 1-2 million baseball fields in the world, but that's just a ballpark number.",2 years ago,206,1
341,I think there is a chance I might be insecure.,10 months ago,113,1
342,"I thought I saw a sausage fly past my window, but it was just a seabird. I think I've taken a tern for the wurst.",8 months ago,59,1
343,"I thought I spotted a leopard once, but it turns out they’re born like that.",9 months ago,370,1
344,"I thought about doing some yoga, but then thought, ""That's a bit of a stretch.""",1 year ago,277,1
345,"I thought becoming a comedian like my estranged dad would get us closer, but he didn’t want to see one of his mistakes making one of his mistakes.",2 months ago,199,1
346,I thought they were giving out wigs for free but apparently you have toupee.,8 months ago,324,1
347,I tied all of my spaghetti together whilst I was drunk last night and ended up skipping dinner.,7 months ago,66,1
348,I told my doctor that I broke my arm in two places. He told me to stop going to those places.,2 years ago,269,1
349,"I took a sip of my friend's Earl Grey, but it wasn't my cup of tea.",9 months ago,240,1
350,I took a test to see if I had a kidney stone. I passed it.,5 months ago,25,1
351,I totally understand how batteries feel because I’m rarely ever included in things either.,2 years ago,282,1
352,"I tried teaching my dog how to dance, but it turns out, he's got 2 left feet.",1 year ago,330,1
353,"I tried to be an actor, but I was living a lie.",23 days ago,6,1
354,"I tried to be nice by holding the door open for a girl but apparently, chivalry doesn't apply to bathroom stalls",10 months ago,426,1
355,I tried to buy a hotdog with ketchup but the vendor would only accept cash.,1 month ago,441,1
356,"I tried to start a group for guys with Erectile Dysfunction, but nobody was up for it.",9 months ago,328,1
357,I used to be a lifeguard until some blue kid got me fired.,7 months ago,160,1
358,I used to be funny.,1 month ago,0,1
359,I used to be indecisive but now Im not so sure,5 months ago,267,1
360,"I used to be indecisive, but now I'm not so sure.",3 months ago,37,1
361,"I used to hate pimples, but they grew on me.",1 month ago,387,1
362,"I used to work in a theatre, sadly the doctors just couldn’t appreciate my acting skills.",2 months ago,20,1
363,I visited the antique computer store to bring back the old memories.,1 year ago,210,1
364,I want to open a barber shop in the hood and call it Gang Bangs.,8 months ago,320,1
365,I want to open a male strip club featuring Asian men in Mexico called Señor Dong.,7 months ago,143,1
366,"I want to start a professional hide and seek league, but good players are so hard to find.",2 months ago,47,1
367,"I want to start an airline that caters for fat people, but I don’t think it’ll take off.",16 days ago,14,1
368,"I wanted to marry my English teacher when she got out of jail, but apparently, you can’t end a sentence with a proposition.",1 year ago,850,1
369,I wanted to start a game of hide & seek but finding people was impossible.,27 days ago,17,1
370,I was attacked by a group of mimes and they did unspeakable things to me.,2 years ago,530,1
371,I was born at a very young age.,4 months ago,268,1
372,"I was going to make a joke about sodium and hydrogen, but NaH..",7 days ago,480,1
373,"I was going to pay my neighbor a visit, but I'm on the fence about it.",24 days ago,6,1
374,"I was going to quit stealing board games, but there was one last Risk I was willing to take.",1 month ago,27,1
375,I was gonna tell a time travelling joke but you guys didn't like it,2 years ago,1100,1
376,"I was hitting on this hot girl and she says, “The thing that I love is...” and I interrupted, “when people finish your sentences?!?!?!”",1 month ago,2,1
377,I was immediately fired at my new job as a human cannon ball,1 month ago,450,1
378,"I was lonely and looking for a bit of company, so I bought some stocks.",2 months ago,11,1
379,I was once employed as a designer of cul de sacs. Turned out though to be a dead end job.,8 months ago,55,1
380,"I was picking up some dog poop in the park today and thought to myself, I really should get a dog.",1 year ago,229,1
381,I was recently caught masturbating inside of a hospital. I told them I was just having a stroke.,6 months ago,198,1
382,I was recently let go as an organ courier. Heart wasn't in it.,1 month ago,114,1
383,"I was that kid in high school who would always ask the teacher ""When are we ever going to use this in real life?"" in Sex Ed.",2 years ago,212,1
384,"I was trying to learn how to snap my fingers, and then it clicked",26 days ago,10,1
385,"I was trying to remember the name of that Italian dessert where you pour espresso over ice cream, but affogatto.",1 month ago,10,1
386,"I was wondering why the ball kept getting bigger, and then it hit me.",4 months ago,198,1
387,I was wondering why the ball was getting bigger and then it hit me.,1 month ago,48,1
